API_UWI,TVD_FT,LateralLength_FT,ENVOperator,WellName,ProducingMonth,TotalProdMonths,ProducingDays,LiquidsProd_BBL,GasProd_MCF,WaterProd_BBL
42-317-43640,8274,10425,EXXON,STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,2022-06-01,1,30,31329,8505,75909
42-317-43640,8274,10425,EXXON,STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,2022-07-01,2,31,22055,18004,53596
42-317-43640,8274,10425,EXXON,STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,2022-08-01,3,31,18680,11996,45531
42-317-43640,8274,10425,EXXON,STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,2022-09-01,4,30,17455,9466,42671
42-317-43640,8274,10425,EXXON,STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,2022-10-01,5,31,26144,16693,64099
42-317-43640,8274,10425,EXXON,STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,2022-11-01,6,30,23884,16823,58730
42-317-43906,8111,12580,"VENCER ENERGY, LLC",TEXACO-MCMURRY 3244C 3HL,2022-07-01,1,31,8759,6952,22619
42-317-43906,8111,12580,"VENCER ENERGY, LLC",TEXACO-MCMURRY 3244C 3HL,2022-08-01,2,31,21833,20545,66190
42-317-43906,8111,12580,"VENCER ENERGY, LLC",TEXACO-MCMURRY 3244C 3HL,2022-09-01,3,30,24787,29914,74984
42-317-43906,8111,12580,"VENCER ENERGY, LLC",TEXACO-MCMURRY 3244C 3HL,2022-10-01,4,31,21476,34606,64828
42-317-43906,8111,12580,"VENCER ENERGY, LLC",TEXACO-MCMURRY 3244C 3HL,2022-11-01,5,30,18033,34018,54318
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-05-01,1,31,32320,33272,83898
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-06-01,2,30,24920,25084,64706
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-07-01,3,31,25163,30431,65401
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-08-01,4,31,16735,28701,43538
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-09-01,5,30,13410,33648,34923
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-10-01,6,31,11377,36352,29657
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-11-01,7,30,9116,34056,23788
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2021-12-01,8,31,8720,36167,22775
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-01-01,9,31,6327,28189,16543
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-02-01,10,28,5024,21526,13147
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-03-01,11,31,5217,26080,13665
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-04-01,12,30,3684,21897,9659
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-05-01,13,31,3819,23173,10024
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-06-01,14,30,3453,21925,9071
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-07-01,15,31,3782,25289,9945
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-08-01,16,31,2929,19941,7711
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-09-01,17,30,3370,22443,8880
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-10-01,18,31,3231,22449,8522
42-317-42455,8015,10400,EXXON,DARK STAR UNIT 1 2121SH,2022-11-01,19,30,2727,23022,7199
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-05-01,1,31,5520,5916,17642
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-06-01,2,30,25584,26942,81731
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-07-01,3,31,25891,32655,82640
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-08-01,4,31,17257,30769,55035
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-09-01,5,30,13859,36039,44161
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-10-01,6,31,11783,38899,37516
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-11-01,7,30,9463,36408,30103
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2021-12-01,8,31,9071,38629,28831
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-01-01,9,31,6597,30080,20950
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-02-01,10,28,5249,22949,16655
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-03-01,11,31,5462,27779,17318
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-04-01,12,30,3865,23302,12246
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-05-01,13,31,4016,24637,12713
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-06-01,14,30,3639,23288,11509
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-07-01,15,31,3994,26837,12622
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-08-01,16,31,3101,21141,9791
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-09-01,17,30,3575,23772,11279
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-10-01,18,31,3435,23757,10827
42-317-42460,7997,10430,EXXON,DARK STAR UNIT 1 2123SH,2022-11-01,19,30,2905,24340,9151
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2017-11-01,1,30,3439,3239,11195
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2017-12-01,2,31,13881,8723,47945
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-01-01,3,31,13335,6388,46747
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-02-01,4,28,12119,8573,43088
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-03-01,5,31,14424,11277,52011
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-04-01,6,30,9150,12839,33479
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-05-01,7,31,2452,27222,9103
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-06-01,8,30,7933,11186,29885
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-07-01,9,31,7336,4616,28042
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-08-01,10,31,5397,7189,20938
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-09-01,11,30,6217,15146,24475
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-10-01,12,31,5923,27529,23658
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-11-01,13,30,4751,23597,19256
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2018-12-01,14,31,4712,23095,19379
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-01-01,15,31,3369,13539,14062
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-02-01,16,28,49,0,209
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-03-01,17,31,1335,6433,5732
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-04-01,18,30,2491,3570,10853
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-05-01,19,31,2711,4709,11985
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-06-01,20,30,2858,15438,12818
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-07-01,21,31,4153,20811,18902
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-08-01,22,31,4219,24156,19488
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-09-01,23,30,4050,22198,18985
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-10-01,24,31,3853,29875,18324
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-11-01,25,30,2956,32677,14266
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2019-12-01,26,31,2736,35702,13396
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-01-01,27,31,2728,27558,13560
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-02-01,28,29,2536,26290,12788
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-03-01,29,31,2488,27943,12725
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-04-01,30,30,2066,23557,10724
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-05-01,31,31,1920,25174,10109
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-06-01,32,30,1776,22340,9491
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-07-01,33,31,1588,17277,8612
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-08-01,34,31,1517,20834,8349
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-09-01,35,30,1372,18715,7661
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-10-01,36,31,1157,12494,6553
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-11-01,37,30,1290,17053,7418
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2020-12-01,38,31,890,11772,5189
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-01-01,39,31,1060,17167,6277
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-02-01,40,28,832,12294,4993
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-03-01,41,31,1298,15412,7903
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-04-01,42,30,1044,18183,6451
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-05-01,43,31,1137,23524,7130
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-06-01,44,30,892,21756,5676
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-07-01,45,31,852,22728,5498
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-08-01,46,31,786,21281,5152
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-09-01,47,30,746,24961,4959
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-10-01,48,31,724,26463,4885
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-11-01,49,30,620,23367,4243
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2021-12-01,50,31,664,22929,4612
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-01-01,51,31,615,22975,4338
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-02-01,52,28,619,20635,4426
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-03-01,53,31,671,27074,4863
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-04-01,54,30,541,16868,3977
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-05-01,55,31,116,5666,865
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-06-01,56,30,77,5882,586
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-07-01,57,31,240,10609,1844
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-08-01,58,31,327,1837,2548
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-09-01,59,30,417,1564,3299
42-317-40743,8194,7562,"VENCER ENERGY, LLC",MCMURRY-CRIM 70 207HL,2022-10-01,60,31,442,9537,3552
