API_UWI,TVD_FT,LateralLength_FT,ENVOperator,WellName,ProducingMonth,TotalProdMonths,ProducingDays,LiquidsProd_BBL,GasProd_MCF,WaterProd_BBL
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-05-01,1,31,2960,2731,6107
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-06-01,2,30,22900,20793,47279
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-07-01,3,31,23100,25215,47742
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-08-01,4,31,15346,23772,31752
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-09-01,5,30,12285,27857,25446
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-10-01,6,31,10411,30083,21589
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-11-01,7,30,8334,28171,17300
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2021-12-01,8,31,7963,29905,16548
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-01-01,9,31,5772,23298,12009
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-02-01,10,28,4578,17784,9535
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-03-01,11,31,4749,21537,9902
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-04-01,12,30,3350,18076,6993
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-05-01,13,31,3470,19121,7250
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-06-01,14,30,3134,18083,6555
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-07-01,15,31,3429,20850,7179
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-08-01,16,31,2653,16433,5562
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-09-01,17,30,3049,18487,6399
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-10-01,18,31,2920,18485,6134
42-317-42465,8796,10398,EXXON,DARK STAR UNIT 1 2103BH,2022-11-01,19,30,2462,18949,5178
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-05-01,1,31,492,589,1053
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-06-01,2,30,24658,28477,52945
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-07-01,3,31,26833,38440,57896
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-08-01,4,31,18007,37255,39046
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-09-01,5,30,13071,38572,28482
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-10-01,6,31,10495,38392,22980
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-11-01,7,30,8063,36965,17740
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2021-12-01,8,31,6647,35662,14696
42-317-42493,8781,10342,EXXON,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2022-01-01,9,31,5492,29977,12204
