WellName,TotalProdMonths,OIL_BBL
STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,1,15226.244604316546
STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,2,10373.20337278564
STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,3,8785.828111704184
STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,4,8483.325339728217
STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,5,12296.396689100333
STRAIN 19 UNIT 1&2 ALLOC 1933 1923SH,6,11607.891286970422
TEXACO-MCMURRY 3244C 3HL,1,3413.9391763680187
TEXACO-MCMURRY 3244C 3HL,2,8509.7081901636
TEXACO-MCMURRY 3244C 3HL,3,9983.105458399574
TEXACO-MCMURRY 3244C 3HL,4,8370.562592953484
TEXACO-MCMURRY 3244C 3HL,5,7262.89348171701
DARK STAR UNIT 1 2121SH,1,15237.71712158809
DARK STAR UNIT 1 2121SH,2,12140.51282051282
DARK STAR UNIT 1 2121SH,3,11863.449131513647
DARK STAR UNIT 1 2121SH,4,7889.950372208436
DARK STAR UNIT 1 2121SH,5,6533.076923076922
DARK STAR UNIT 1 2121SH,6,5363.846153846154
DARK STAR UNIT 1 2121SH,7,4441.128205128204
DARK STAR UNIT 1 2121SH,8,4111.166253101736
DARK STAR UNIT 1 2121SH,9,2982.952853598015
DARK STAR UNIT 1 2121SH,10,2622.4175824175823
DARK STAR UNIT 1 2121SH,11,2459.6277915632754
DARK STAR UNIT 1 2121SH,12,1794.7692307692305
DARK STAR UNIT 1 2121SH,13,1800.5210918114144
DARK STAR UNIT 1 2121SH,14,1682.230769230769
DARK STAR UNIT 1 2121SH,15,1783.0769230769229
DARK STAR UNIT 1 2121SH,16,1380.9181141439203
DARK STAR UNIT 1 2121SH,17,1641.7948717948716
DARK STAR UNIT 1 2121SH,18,1523.3002481389578
DARK STAR UNIT 1 2121SH,19,1328.5384615384614
DARK STAR UNIT 1 2123SH,1,2594.995824699224
DARK STAR UNIT 1 2123SH,2,12428.149568552251
DARK STAR UNIT 1 2123SH,3,12171.564655305723
DARK STAR UNIT 1 2123SH,4,8112.652707759873
DARK STAR UNIT 1 2123SH,5,6732.4001278363685
DARK STAR UNIT 1 2123SH,6,5539.281848266477
DARK STAR UNIT 1 2123SH,7,4596.919143496324
DARK STAR UNIT 1 2123SH,8,4264.349117001206
DARK STAR UNIT 1 2123SH,9,3101.3020752791267
DARK STAR UNIT 1 2123SH,10,2731.981920284893
DARK STAR UNIT 1 2123SH,11,2567.729564222312
DARK STAR UNIT 1 2123SH,12,1877.5327580696703
DARK STAR UNIT 1 2123SH,13,1887.9534840565368
DARK STAR UNIT 1 2123SH,14,1767.7468839884946
DARK STAR UNIT 1 2123SH,15,1877.6111093928805
DARK STAR UNIT 1 2123SH,16,1457.804719636285
DARK STAR UNIT 1 2123SH,17,1736.657078938958
DARK STAR UNIT 1 2123SH,18,1614.8207713481584
DARK STAR UNIT 1 2123SH,19,1411.185682326622
MCMURRY-CRIM 70 207HL,1,2304.1876046901166
MCMURRY-CRIM 70 207HL,2,9000.486302480142
MCMURRY-CRIM 70 207HL,3,8646.458096936292
MCMURRY-CRIM 70 207HL,4,8699.928212491026
MCMURRY-CRIM 70 207HL,5,9352.56929810342
MCMURRY-CRIM 70 207HL,6,6130.653266331657
MCMURRY-CRIM 70 207HL,7,1589.8849084130327
MCMURRY-CRIM 70 207HL,8,5315.242881072026
MCMURRY-CRIM 70 207HL,9,4756.686659101961
MCMURRY-CRIM 70 207HL,10,3499.4326471065
MCMURRY-CRIM 70 207HL,11,4165.494137353433
MCMURRY-CRIM 70 207HL,12,3840.492786513211
MCMURRY-CRIM 70 207HL,13,3183.2495812395305
MCMURRY-CRIM 70 207HL,14,3055.276381909548
MCMURRY-CRIM 70 207HL,15,2184.470740800778
MCMURRY-CRIM 70 207HL,17,865.6184146539146
MCMURRY-CRIM 70 207HL,18,1669.011725293132
MCMURRY-CRIM 70 207HL,19,1757.8213648889605
MCMURRY-CRIM 70 207HL,20,1914.907872696817
MCMURRY-CRIM 70 207HL,21,2692.81893337656
MCMURRY-CRIM 70 207HL,22,2735.613551629113
MCMURRY-CRIM 70 207HL,23,2713.56783919598
MCMURRY-CRIM 70 207HL,24,2498.2979413195003
MCMURRY-CRIM 70 207HL,25,1980.569514237856
MCMURRY-CRIM 70 207HL,26,1774.0314475603825
MCMURRY-CRIM 70 207HL,27,1768.8442211055274
MCMURRY-CRIM 70 207HL,28,1757.754288684803
MCMURRY-CRIM 70 207HL,29,1613.22742745988
MCMURRY-CRIM 70 207HL,30,1384.254606365159
MCMURRY-CRIM 70 207HL,31,1244.9343491651805
MCMURRY-CRIM 70 207HL,32,1189.9497487437184
MCMURRY-CRIM 70 207HL,33,1029.6644512887017
MCMURRY-CRIM 70 207HL,34,983.627816501864
MCMURRY-CRIM 70 207HL,35,919.2629815745393
MCMURRY-CRIM 70 207HL,36,750.2026260333927
MCMURRY-CRIM 70 207HL,37,864.3216080402008
MCMURRY-CRIM 70 207HL,38,577.0789431026097
MCMURRY-CRIM 70 207HL,39,687.3075052682768
MCMURRY-CRIM 70 207HL,40,597.2720746590093
MCMURRY-CRIM 70 207HL,41,841.6274923002106
MCMURRY-CRIM 70 207HL,42,699.4974874371858
MCMURRY-CRIM 70 207HL,43,737.2345598962553
MCMURRY-CRIM 70 207HL,44,597.6549413735343
MCMURRY-CRIM 70 207HL,45,552.4396174420489
MCMURRY-CRIM 70 207HL,46,509.6449991894958
MCMURRY-CRIM 70 207HL,47,499.8324958123952
MCMURRY-CRIM 70 207HL,48,469.4439941643702
MCMURRY-CRIM 70 207HL,49,415.41038525963137
MCMURRY-CRIM 70 207HL,50,430.53979575295824
MCMURRY-CRIM 70 207HL,51,398.7680337169719
MCMURRY-CRIM 70 207HL,52,444.364680545585
MCMURRY-CRIM 70 207HL,53,435.0786189009563
MCMURRY-CRIM 70 207HL,54,362.47906197654936
MCMURRY-CRIM 70 207HL,55,75.21478359539633
MCMURRY-CRIM 70 207HL,56,51.591289782244544
MCMURRY-CRIM 70 207HL,57,155.61679364564756
MCMURRY-CRIM 70 207HL,58,212.02788134219483
MCMURRY-CRIM 70 207HL,59,279.39698492462304
MCMURRY-CRIM 70 207HL,60,286.59426163073425
LENORAH 1-24 0624SH,1,8008.77685168061
LENORAH 1-24 0624SH,2,8099.86534697447
LENORAH 1-24 0624SH,3,11232.48939724971
LENORAH 1-24 0624SH,4,7691.328992971203
LENORAH 1-24 0624SH,5,8079.292585754542
LENORAH 1-24 0624SH,6,7129.569526770963
LENORAH 1-24 0624SH,7,5307.7383620514
LENORAH 1-24 0624SH,8,4810.3165622325805
LENORAH 1-24 0624SH,9,4098.727043047323
LENORAH 1-24 0624SH,10,2968.807696045088
LENORAH 1-24 0624SH,11,2431.665209082369
LENORAH 1-24 0624SH,12,3426.207052200325
LENORAH 1-24 0624SH,13,2989.295375539541
LENORAH 1-24 0624SH,14,2454.9070329280016
LENORAH 1-24 0624SH,15,2883.998232091304
LENORAH 1-24 0624SH,16,3069.7373109189257
LENORAH 1-24 0624SH,17,2306.055087282655
LENORAH 1-24 0624SH,18,2434.126907006121
LENORAH 1-24 0624SH,19,2205.9989781236973
LENORAH 1-24 0624SH,20,1588.0333896514649
LENORAH 1-24 0624SH,21,1669.523531888705
LENORAH 1-24 0624SH,22,1366.9570341764334
LENORAH 1-24 0624SH,23,1256.9429598678453
LENORAH 1-24 0624SH,24,911.4635086718428
LENORAH 1-24 0624SH,25,1065.3593337115738
LENORAH 1-24 0624SH,26,644.0856781931507
LENORAH 1-24 0624SH,27,1056.3066381210012
LENORAH 1-24 0624SH,28,1060.0071259676738
LENORAH 1-24 0624SH,29,1011.0431601681393
LENORAH 1-24 0624SH,30,734.0783208628898
LENORAH 1-24 0624SH,31,1192.0970719795876
LENORAH 1-24 0624SH,32,1177.8033420997365
LENORAH 1-24 0624SH,33,846.3317461859876
LENORAH 1-24 0624SH,34,1025.336890047991
LENORAH 1-24 0624SH,35,949.7230589835776
LENORAH 1-24 0624SH,36,1093.4703358086144
LENORAH 1-24 0624SH,37,917.1810006237832
LENORAH 1-24 0624SH,38,655.1633188500354
LENORAH 1-24 0624SH,39,587.4722980618831
LENORAH 1-24 0624SH,40,546.0045994882258
LENORAH 1-24 0624SH,41,362.10782362289626
LENORAH 1-24 0624SH,42,607.5470475820294
LENORAH 1-24 0624SH,43,603.6718585923811
LENORAH 1-24 0624SH,44,595.572078327132
LENORAH 1-24 0624SH,45,278.17186538399244
LENORAH 1-24 0624SH,46,152.9429097144075
LENORAH 1-24 0624SH,47,210.22900268843324
DOOLITTLE 11 204,1,7331.047619047617
DOOLITTLE 11 204,2,17492.841781874038
DOOLITTLE 11 204,3,13851.428571428569
DOOLITTLE 11 204,4,9885.099846390169
DOOLITTLE 11 204,5,8836.620583717357
DOOLITTLE 11 204,6,8624.761904761903
LENORAH 1-21 0621SH,1,6914.331195280677
LENORAH 1-21 0621SH,2,14568.297517049798
LENORAH 1-21 0621SH,3,11867.74483378257
LENORAH 1-21 0621SH,4,10254.787209139004
LENORAH 1-21 0621SH,5,11647.205289469435
LENORAH 1-21 0621SH,6,8536.879067372067
LENORAH 1-21 0621SH,7,6986.950491856152
LENORAH 1-21 0621SH,8,6648.176412753405
LENORAH 1-21 0621SH,9,5658.9915258204965
LENORAH 1-21 0621SH,10,5158.832446379615
LENORAH 1-21 0621SH,11,4197.275153331148
LENORAH 1-21 0621SH,12,3254.726656990807
LENORAH 1-21 0621SH,13,4188.735427688562
LENORAH 1-21 0621SH,14,3596.6477831359143
LENORAH 1-21 0621SH,15,3176.270790584388
LENORAH 1-21 0621SH,16,2869.82224511135
LENORAH 1-21 0621SH,17,2276.200612804386
LENORAH 1-21 0621SH,18,1264.8282535074989
LENORAH 1-21 0621SH,19,2210.9982260925653
LENORAH 1-21 0621SH,20,1113.0109087504095
LENORAH 1-21 0621SH,21,2187.118622906815
LENORAH 1-21 0621SH,22,2486.0248347040792
LENORAH 1-21 0621SH,23,1789.5469513241878
LENORAH 1-21 0621SH,24,1855.571681986776
LENORAH 1-21 0621SH,25,1456.9720804656895
LENORAH 1-21 0621SH,26,2028.6592693166035
LENORAH 1-21 0621SH,27,1731.785195936139
LENORAH 1-21 0621SH,28,2291.4930474273137
LENORAH 1-21 0621SH,29,1828.608288985647
LENORAH 1-21 0621SH,30,1695.609969255739
LENORAH 1-21 0621SH,31,1767.8180938558294
LENORAH 1-21 0621SH,32,1609.7382836275103
LENORAH 1-21 0621SH,33,623.3999719087972
LENORAH 1-21 0621SH,34,1284.9282373810672
LENORAH 1-21 0621SH,35,1515.8013015590616
LENORAH 1-21 0621SH,36,1719.2839864537975
LENORAH 1-21 0621SH,37,1982.1652074847448
LENORAH 1-21 0621SH,38,1239.6835057821058
LENORAH 1-21 0621SH,39,671.2834335475844
LENORAH 1-21 0621SH,40,630.5164099442858
LENORAH 1-21 0621SH,41,853.0237058538944
LENORAH 1-21 0621SH,42,340.64016729871867
LENORAH 1-21 0621SH,43,556.4263828414771
LENORAH 1-21 0621SH,44,1252.493094245985
LENORAH 1-21 0621SH,45,1099.7268910841644
LENORAH 1-21 0621SH,46,993.2333494597644
LENORAH 1-21 0621SH,47,845.43283861604
LENORAH 1-21 0621SH,48,948.1309466215124
LENORAH 1-22 0622SH,1,10855.313092979126
LENORAH 1-22 0622SH,2,9630.77731092437
LENORAH 1-22 0622SH,3,8392.314990512334
LENORAH 1-22 0622SH,4,8965.19607843137
LENORAH 1-22 0622SH,5,7352.466793168879
LENORAH 1-22 0622SH,6,6047.058823529411
LENORAH 1-22 0622SH,7,5279.88614800759
LENORAH 1-22 0622SH,8,4630.455407969639
LENORAH 1-22 0622SH,9,3839.705882352941
LENORAH 1-22 0622SH,10,3313.5673624288424
LENORAH 1-22 0622SH,11,2672.549019607842
LENORAH 1-22 0622SH,12,3398.481973434535
LENORAH 1-22 0622SH,13,2810.246679316888
LENORAH 1-22 0622SH,14,2459.4320486815413
LENORAH 1-22 0622SH,15,2036.527514231499
LENORAH 1-22 0622SH,16,1408.333333333333
LENORAH 1-22 0622SH,17,1104.8387096774193
LENORAH 1-22 0622SH,18,952.941176470588
LENORAH 1-22 0622SH,19,1599.146110056926
LENORAH 1-22 0622SH,20,1730.5502846299808
LENORAH 1-22 0622SH,21,1770.588235294117
LENORAH 1-22 0622SH,22,1237.1916508538898
LENORAH 1-22 0622SH,23,1150.9803921568623
