WellName,TotalProdMonths,OIL_BBL
DARK STAR UNIT 1 2103BH,1,1395.801922205883
DARK STAR UNIT 1 2103BH,2,11158.556132589598
DARK STAR UNIT 1 2103BH,3,10892.913649647264
DARK STAR UNIT 1 2103BH,4,7236.478479111987
DARK STAR UNIT 1 2103BH,5,5986.151182919791
DARK STAR UNIT 1 2103BH,6,4909.356017596436
DARK STAR UNIT 1 2103BH,7,4060.934795152913
DARK STAR UNIT 1 2103BH,8,3754.990103555894
DARK STAR UNIT 1 2103BH,9,2721.8137483014725
DARK STAR UNIT 1 2103BH,10,2390.075014425851
DARK STAR UNIT 1 2103BH,11,2239.4132866742366
DARK STAR UNIT 1 2103BH,12,1632.3651984355963
DARK STAR UNIT 1 2103BH,13,1636.2948209643291
DARK STAR UNIT 1 2103BH,14,1527.1141886260175
DARK STAR UNIT 1 2103BH,15,1616.961078122964
DARK STAR UNIT 1 2103BH,16,1251.0346282473677
DARK STAR UNIT 1 2103BH,17,1485.695967173174
DARK STAR UNIT 1 2103BH,18,1376.939734067966
DARK STAR UNIT 1 2103BH,19,1199.6666025517727
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,1,233.26117740999743
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,2,12080.24237736092
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,3,12721.742222444029
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,4,8537.264271589072
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,5,6403.6356604138455
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,6,4975.764343329112
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,7,3950.157932056984
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,8,3151.396435455799
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,9,2603.8015982433044
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,10,2396.193054673039
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,11,2093.6612996799768
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,12,1758.293044543286
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,13,1533.265544194983
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,14,1723.5093147682585
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,15,941.104547070823
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,16,1377.758092588318
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,17,1455.5276219944562
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,18,1179.1068053224872
DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,19,1133.6556436537096
HALSEY B 102WB,1,12198.561725928885
HALSEY B 102WB,2,11407.394996971376
HALSEY B 102WB,3,4416.886402983087
HALSEY B 102WB,4,3686.724317915276
HALSEY B 102WB,5,4779.2249300838985
HALSEY B 102WB,6,3723.454435322774
HALSEY B 102WB,7,2692.5624734189937
HALSEY B 102WB,8,2286.8824077773334
HALSEY B 102WB,9,2104.8805948990243
HALSEY B 102WB,10,2303.076308429884
HALSEY B 102WB,11,2367.8682355367105
HALSEY B 102WB,12,2094.106427126158
HALSEY B 102WB,13,1852.7195936305
HALSEY B 102WB,14,416.274663951645
HALSEY B 102WB,15,3400.7191370355567
HALSEY B 102WB,16,3673.501475648576
HALSEY B 102WB,17,3232.2013583699554
HALSEY B 102WB,18,2613.7151547175645
HALSEY B 102WB,19,2675.421751962161
HALSEY B 102WB,20,2912.371820482088
HALSEY B 102WB,21,2425.6569535911744
HALSEY B 102WB,22,1810.6805167132773
HALSEY B 102WB,23,1905.5584911010008
HALSEY B 102WB,24,2039.2561184642943
HALSEY B 102WB,25,606.2242550318927
HALSEY B 102WB,26,203.23998298815613
HALSEY B 102WB,27,802.6102010920227
HALSEY B 102WB,28,1273.800471692034
HALSEY B 102WB,29,631.5621254494606
HALSEY B 102WB,30,956.4522572912504
HALSEY B 102WB,31,800.2268245846919
HALSEY B 102WB,32,2.53029697696098
HALSEY B 102WB,33,
HALSEY B 102WB,34,
HALSEY B 102WB,35,
HALSEY B 102WB,37,762.3423320586724
HALSEY B 102WB,38,2632.814815769463
HALSEY B 102WB,39,1637.6082034891465
HALSEY B 102WB,40,1532.870233139587
HALSEY B 102WB,41,1294.4999334132374
HALSEY B 102WB,42,1169.9766731535062
HALSEY B 102WB,43,773.7811400512932
HALSEY B 102WB,44,1280.836329737648
HALSEY B 102WB,45,1110.7187504027424
HALSEY B 102WB,46,1055.6398987881207
HALSEY B 102WB,47,1023.5459384222804
HALSEY B 102WB,48,983.3876767234158
HALSEY B 102WB,49,911.4491182010158
HALSEY B 102WB,50,123.90292938796026
STRAIN 20 UNIT 2 2007BH,1,14151.336037602214
STRAIN 20 UNIT 2 2007BH,2,9490.114464099895
STRAIN 20 UNIT 2 2007BH,3,8629.184918404606
STRAIN 20 UNIT 2 2007BH,4,6556.026989402729
STRAIN 20 UNIT 2 2007BH,5,6217.824496688206
STRAIN 20 UNIT 2 2007BH,6,5176.76904256004
STRAIN 20 UNIT 2 2007BH,7,2064.241963523525
STRAIN 20 UNIT 2 2007BH,8,5311.338613096387
STRAIN 20 UNIT 2 2007BH,9,3687.127306261566
STRAIN 20 UNIT 2 2007BH,10,3209.3066728146205
STRAIN 20 UNIT 2 2007BH,11,2709.007790869873
STRAIN 20 UNIT 2 2007BH,12,2398.100780748596
STRAIN 20 UNIT 2 2007BH,13,2189.8139205460047
STRAIN 20 UNIT 2 2007BH,14,1955.3234841451333
STRAIN 20 UNIT 2 2007BH,15,1509.704835905712
STRAIN 20 UNIT 2 2007BH,16,177.73669251359033
STRAIN 20 UNIT 2 2007BH,17,120.28388592222424
STRAIN 20 UNIT 2 2007BH,18,673.3371965745927
STRAIN 20 UNIT 2 2007BH,19,1202.8388592222425
STRAIN 20 UNIT 2 2007BH,20,1237.5507050415297
STRAIN 20 UNIT 2 2007BH,21,1654.6137693395729
STRAIN 20 UNIT 2 2007BH,22,1167.7955223787596
STRAIN 20 UNIT 2 2007BH,23,1649.5782628291802
STRAIN 20 UNIT 2 2007BH,24,1537.1712350533064
STRAIN 20 UNIT 2 2007BH,25,1412.2464747923505
STRAIN 20 UNIT 2 2007BH,26,1459.981182276446
STRAIN 20 UNIT 2 2007BH,27,1198.1032731623122
STRAIN 20 UNIT 2 2007BH,28,1123.0442341124203
STRAIN 20 UNIT 2 2007BH,29,1193.3676871023822
STRAIN 20 UNIT 2 2007BH,30,1086.3434421479622
STRAIN 20 UNIT 2 2007BH,31,1025.727940580857
STRAIN 20 UNIT 2 2007BH,32,1068.7270620050222
STRAIN 20 UNIT 2 2007BH,33,891.7108550848355
STRAIN 20 UNIT 2 2007BH,34,716.0206122614293
STRAIN 20 UNIT 2 2007BH,35,1350.5891442920608
STRAIN 20 UNIT 2 2007BH,36,991.1581623433674
STRAIN 20 UNIT 2 2007BH,37,946.3910887901616
STRAIN 20 UNIT 1 2004BH,1,5085.751078488184
STRAIN 20 UNIT 1 2004BH,2,14477.160143812273
STRAIN 20 UNIT 1 2004BH,3,15739.256969931104
STRAIN 20 UNIT 1 2004BH,4,13002.49864475004
STRAIN 20 UNIT 1 2004BH,5,10538.099659162424
STRAIN 20 UNIT 1 2004BH,6,7751.713480713766
STRAIN 20 UNIT 1 2004BH,7,7019.5592166343695
STRAIN 20 UNIT 1 2004BH,8,5720.43010752688
STRAIN 20 UNIT 1 2004BH,9,1847.82568058472
STRAIN 20 UNIT 1 2004BH,10,5659.751464812311
STRAIN 20 UNIT 1 2004BH,11,3896.913768716469
STRAIN 20 UNIT 1 2004BH,12,3222.566313782425
STRAIN 20 UNIT 1 2004BH,13,2969.828085763956
STRAIN 20 UNIT 1 2004BH,14,2936.0633571566545
STRAIN 20 UNIT 1 2004BH,15,2625.329985190908
STRAIN 20 UNIT 1 2004BH,16,1909.8618579698043
STRAIN 20 UNIT 1 2004BH,17,1858.2439699165664
STRAIN 20 UNIT 1 2004BH,18,1194.348629929082
STRAIN 20 UNIT 1 2004BH,19,1297.550580420844
STRAIN 20 UNIT 1 2004BH,20,1349.1211126134824
STRAIN 20 UNIT 1 2004BH,21,1255.4038644874663
STRAIN 20 UNIT 1 2004BH,22,1228.2531710772002
STRAIN 20 UNIT 1 2004BH,23,1310.8102213886484
STRAIN 20 UNIT 1 2004BH,24,564.4818583436664
STRAIN 20 UNIT 1 2004BH,25,1171.489279505505
STRAIN 20 UNIT 1 2004BH,26,1307.0217525407045
STRAIN 20 UNIT 1 2004BH,27,1127.4483291481552
STRAIN 20 UNIT 1 2004BH,28,1066.9275393022488
STRAIN 20 UNIT 1 2004BH,29,829.2011190937584
STRAIN 20 UNIT 1 2004BH,30,394.7956621319573
STRAIN 20 UNIT 1 2004BH,31,10.418289331846193
STRAIN 20 UNIT 1 2004BH,32,29.36063357156654
STRAIN 20 UNIT 1 2004BH,33,341.43575492095937
STRAIN 20 UNIT 1 2004BH,34,536.8102504668083
STRAIN 20 UNIT 1 2004BH,35,543.1717210739811
STRAIN 20 UNIT 1 2004BH,36,376.00553315844894
STRAIN 20 UNIT 1 2004BH,37,461.9406348593136
