WellName,TotalProdMonths,OIL_BBL
MCMURRY-CRIM 50 105HA,1,242.8577614202208
MCMURRY-CRIM 50 105HA,2,6152.089485458613
MCMURRY-CRIM 50 105HA,3,5447.51677852349
MCMURRY-CRIM 50 105HA,4,5689.716388828751
MCMURRY-CRIM 50 105HA,5,4823.8747203579405
MCMURRY-CRIM 50 105HA,6,3562.571985278199
MCMURRY-CRIM 50 105HA,7,3255.58836689038
MCMURRY-CRIM 50 105HA,8,2945.2262394457675
MCMURRY-CRIM 50 105HA,9,2393.037453994371
MCMURRY-CRIM 50 105HA,10,1750.2588686481304
MCMURRY-CRIM 50 105HA,11,2094.2368478025546
MCMURRY-CRIM 50 105HA,12,2312.304250559284
MCMURRY-CRIM 50 105HA,13,1929.040917947608
MCMURRY-CRIM 50 105HA,14,1940.9753914988808
MCMURRY-CRIM 50 105HA,15,1626.2914050660315
MCMURRY-CRIM 50 105HA,16,2281.80991556614
MCMURRY-CRIM 50 105HA,17,2111.6778523489934
MCMURRY-CRIM 50 105HA,18,2049.482571985278
MCMURRY-CRIM 50 105HA,19,1734.228187919463
MCMURRY-CRIM 50 105HA,20,1364.3472613119725
MCMURRY-CRIM 50 105HA,21,1574.2974669841958
MCMURRY-CRIM 50 105HA,22,1356.4267530664197
MCMURRY-CRIM 50 105HA,23,1253.777873998701
MCMURRY-CRIM 50 105HA,24,1169.0738255033557
MCMURRY-CRIM 50 105HA,25,1179.4067980082268
MCMURRY-CRIM 50 105HA,26,1050.0581655480985
MCMURRY-CRIM 50 105HA,27,913.513747564408
MCMURRY-CRIM 50 105HA,28,1008.9456592336004
MCMURRY-CRIM 50 105HA,29,992.9306487695748
MCMURRY-CRIM 50 105HA,30,878.6317384715306
MCMURRY-CRIM 50 105HA,31,811.3467561521252
MCMURRY-CRIM 50 105HA,32,868.1013206321715
MCMURRY-CRIM 50 105HA,33,787.1487334920979
MCMURRY-CRIM 50 105HA,34,448.130393096836
MCMURRY-CRIM 50 105HA,35,762.7971422385798
MCMURRY-CRIM 50 105HA,36,773.261744966443
