FIELD,MAJOR,RESERVOIR,API_UWI,TVD_FT,LateralLength_FT,ENVOperator,WellName,ProducingMonth,TotalProdMonths,ProducingDays,LiquidsProd_BBL,GasProd_MCF,WaterProd_BBL
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-05-01,1,31,369,256,521
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-06-01,2,30,9046,7205,13550
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-07-01,3,31,8277,9401,12466
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-08-01,4,31,8645,10927,13092
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-09-01,5,30,7093,10786,10800
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-10-01,6,31,5413,10057,8287
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-11-01,7,30,4787,6055,7369
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2018-12-01,8,31,4475,10282,6926
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-01-01,9,31,3636,9938,5659
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-02-01,10,28,2402,8112,3757
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-03-01,11,31,3182,7280,5003
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-04-01,12,30,3400,9196,5375
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-05-01,13,31,2931,6725,4659
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-06-01,14,30,2854,8404,4561
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-07-01,15,31,2471,7467,3970
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-08-01,16,31,3467,11162,5603
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-09-01,17,30,3105,12260,5045
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-10-01,18,31,3114,11886,5086
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-11-01,19,30,2550,11296,4189
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2019-12-01,20,31,2073,10484,3423
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-01-01,21,31,2392,12469,3971
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-02-01,22,29,1928,11585,3218
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-03-01,23,31,1905,11876,3198
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-04-01,24,30,1719,14219,2901
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-05-01,25,31,1792,12146,3040
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-06-01,26,30,1544,11829,2634
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-07-01,27,31,1388,12367,2380
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-08-01,28,31,1533,11904,2643
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-09-01,29,30,1460,10825,2532
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-10-01,30,31,1335,9476,2328
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-11-01,31,30,1193,9624,2091
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2020-12-01,32,31,1319,5218,2325
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-01-01,33,31,1196,8002,2119
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-02-01,34,28,615,6804,1095
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-03-01,35,31,1159,10896,2076
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-04-01,36,30,1137,9951,2046
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-05-01,37,31,1047,10853,1896
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-06-01,38,30,979,9650,1782
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-07-01,39,31,925,11333,1693
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-08-01,40,31,975,12053,1794
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-09-01,41,30,844,13359,1561
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-10-01,42,31,745,11631,1386
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-11-01,43,30,670,10648,1254
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2021-12-01,44,31,645,10948,1214
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-01-01,45,31,607,11908,1148
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-02-01,46,28,601,10513,1142
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-03-01,47,31,686,12411,1311
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-04-01,48,30,485,10240,931
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-05-01,49,31,375,13168,724
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-06-01,50,30,363,8573,704
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-07-01,51,31,362,8341,706
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-08-01,52,31,372,8330,731
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-09-01,53,30,325,8076,641
IDARADO2,OIL,WCA,42-317-40940,8577,7450,"VENCER ENERGY, LLC",MCMURRY-CRIM 50 105HA,2022-10-01,54,31,442,10543,877
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-03-01,1,31,7756,6133,31375
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-04-01,2,30,20309,15278,82562
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-05-01,3,31,10419,12876,40877
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-06-01,4,30,11587,21222,43871
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-07-01,5,31,9290,16892,33947
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-08-01,6,31,8242,19936,29046
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-09-01,7,30,7412,15714,25211
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-10-01,8,31,7644,16407,25090
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-11-01,9,30,5917,16093,18742
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2019-12-01,10,31,5612,14459,17156
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-01-01,11,31,6312,16109,18611
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-02-01,12,29,5673,14036,16151
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-03-01,13,31,5300,14018,14573
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-04-01,14,30,5204,13745,13807
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-05-01,15,31,5770,15587,14774
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-06-01,16,30,5053,14975,12486
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-07-01,17,31,4767,15060,11369
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-08-01,18,31,4459,14230,10257
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-09-01,19,30,4082,13670,9062
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-10-01,20,31,4228,13910,9058
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-11-01,21,30,1005,3359,2078
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2020-12-01,22,31,1042,5258,2079
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-01-01,23,31,2317,6287,4459
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-02-01,24,28,1615,3677,3002
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-03-01,25,31,3809,7638,6843
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-04-01,26,30,4026,9581,6979
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-05-01,27,31,4401,10063,7363
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-06-01,28,30,4130,10180,6669
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-07-01,29,31,4124,11161,6427
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-08-01,30,31,4029,12588,6055
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-09-01,31,30,3322,9489,4818
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-10-01,32,31,3816,8935,5342
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-11-01,33,30,3502,9831,4731
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2021-12-01,34,31,3607,9904,4702
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-01-01,35,31,4110,9297,5167
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-02-01,36,28,3704,7821,4500
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-03-01,37,31,3525,8586,4137
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-04-01,38,30,2885,7330,3268
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-05-01,39,0,0,0,0
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-06-01,40,30,179,1157,189
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-07-01,41,31,368,340,374
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-08-01,42,31,285,795,279
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-09-01,43,30,728,1077,690
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-10-01,44,31,1272,1746,1164
IDARADO2,OIL,WCA,42-317-41650,8649,10222,"VENCER ENERGY, LLC",TEXACO 41-MCMURRY B 40 104HB,2022-11-01,45,30,1553,2369,1371
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2019-10-01,1,31,11249,9950,15036
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2019-11-01,2,30,33279,30085,44472
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2019-12-01,3,31,22926,22715,30451
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-01-01,4,31,20921,32583,27615
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-02-01,5,29,14920,27842,19576
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-03-01,6,31,15179,34627,19796
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-04-01,7,30,12273,32178,15909
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-05-01,8,31,5075,7932,6538
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-06-01,9,30,12680,27853,16237
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-07-01,10,31,9128,29098,11618
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-08-01,11,31,7973,28598,10085
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-09-01,12,30,6536,23845,8217
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-10-01,13,31,6000,22739,7497
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-11-01,14,30,5320,20203,6607
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2020-12-01,15,31,4927,20184,6081
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-01-01,16,31,3818,17145,4683
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-02-01,17,28,407,2846,496
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-03-01,18,31,306,1667,371
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-04-01,19,30,1665,4533,2006
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-05-01,20,31,3084,6011,3693
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-06-01,21,30,3080,7340,3666
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-07-01,22,31,4272,8918,5053
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-08-01,23,31,3026,6707,3558
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-09-01,24,30,4151,10286,4850
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-10-01,25,31,4011,11460,4658
IDARADO2,OIL,WCA,42-317-41789,8591,10354,EXXON,STRAIN 20 UNIT 2 2017AH,2021-11-01,26,30,3579,12463,4131
